,# WEB Interface,
,# OID PASSWORD LEAKS,
,#Usuario :,iso.3.6.1.4.1.4491.2.4.1.1.6.1.1.0
,#Password:,iso.3.6.1.4.1.4491.2.4.1.1.6.1.2.0
,,
VENDOR,MODELO,oid: 1.3.6.1.2.1.1.1.0 (sysdescr)
Ambit,DDW2600,Ambit Wireless CableModem <<HW_REV: 4.25; VENDOR: Ambit; BOOTR: 5.1.1b; SW_REV: 5.100.1009; MODEL: DDW2600>>
,DDW2602,Ambit Wireless CableModem <<HW_REV: 4.25; VENDOR: Ambit; BOOTR: 5.1.1b; SW_REV: 5.105.1003; MODEL: DDW2602>>
,T60C926,AMBIT PacketCable 1.0 Embedded MTA <<HW_REV: 2.22; VENDOR: Ambit; BOOTR: 2.1.6l; SW_REV: 4.64.1012; MODEL: T60C926>>
,U10C019,Ambit Wireless CableModem <<HW_REV: 4.10; VENDOR: Ambit; BOOTR: 2.1.6d; SW_REV: 5.66.1026; MODEL: U10C019>>
,,
"Arris Interactive, L.L.C.",DG950A,"ARRIS DOCSIS 3.0 /  Touchstone Wideband Gateway <<HW_REV: 3; VENDOR: Arris Interactive, L.L.C.; BOOTR: 2.3.1; SW_REV: 7.10.145; MODEL: DG950A>>"
,DG950S,"ARRIS EuroDOCSIS 3.0 /  Touchstone Wideband Gateway <<HW_REV: 3; VENDOR: Arris Interactive, L.L.C.; BOOTR: 2.3.1; SW_REV: 7.10.145.EURO; MODEL: DG950S>>"
,,
Bnmux,BCW700J,"""BCW700J <<HW_REV: 1.0; VENDOR: Bnmux; BOOTR: 2.3.0; SW_REV: 5.20.7; MODEL: BCW700J>>"""
,BCW710J,BCW710J <<HW_REV: 1.01; VENDOR: Bnmux; BOOTR: 2.4.0alpha14; SW_REV: 5.30.6a; MODEL: BCW710J>>
,BCW710J2,BCW710J2 <<HW_REV: 1.30; VENDOR: Bnmux; BOOTR: 2.4.0alpha14; SW_REV: 5.30.16; MODEL: BCW710J2>>
,,
CastleNet,CBV38Z4EC,CBV38Z4EC <<HW_REV: 1.0; VENDOR: CastleNet; BOOTR: 2.3.0; SW_REV: 125.553mp1.39219mp1.899.007; MODEL: CBV38Z4EC>>
,CBV38Z4ECNIT,CBV38Z4ECNIT <<HW_REV: 1.0; VENDOR: CastleNet; BOOTR: 2.3.0; SW_REV: 125.553mp1.39219mp1.899.005ITT; MODEL: CBV38Z4ECNIT>>
,CBW383G4J,CBW383G4J <<HW_REV: 1.01; VENDOR: CastleNet; BOOTR: 2.4.0alpha14; SW_REV: 37.556mp5.008; MODEL: CBW383G4J>>
,CBW38G4J,CBW38G4J <<HW_REV: 1.0; VENDOR: CastleNet; BOOTR: 2.3.0; SW_REV: 37.553mp1.008; MODEL: CBW38G4J>>
,,
cisco,DPC2320,Cisco DPC2320 DOCSIS 2.0 Data Gateway <<HW_REV: 1.0; VENDOR: Cisco; BOOTR: 2.3.1_D2R2(S); SW_REV: dpc2300r2-v202r1244101-150420a-v6; MODEL: DPC2320>>
,,
Comtrend,CM-6200un,CM-6200un <<HW_REV: 1.0; VENDOR: Comtrend; BOOTR: 2.3.1beta2; SW_REV: 123.447.007; MODEL: CM-6200un>>
,CM-6300n,CM-6300n <<HW_REV: 1.0; VENDOR: Comtrend; BOOTR: 2.3.0; SW_REV: 123.553mp1.005; MODEL: CM-6300n>>
,,
D-Link,DCM-604,DCM-604 <<HW_REV: C1; VENDOR: D-Link; BOOTR: 2.3.0; SW_REV: DCM604_C1_ViaCabo_1.04_20130606; MODEL: DCM-604>>
,DCM-704,D-Link Wireless Voice Gateway <<HW_REV: B3; VENDOR: D-Link; BOOTR: 2.4.0alpha14; SW_REV: EU_DCM-704_1.10; MODEL: DCM-704>>
,,
iNovo Broadband,IB-8120-W21,iNovo IB-8120-W21 <<HW_REV: 1.0; VENDOR: iNovo Broadband; BOOTR: 2.3.1; SW_REV: 139.4410mp1.004200.002; MODEL: IB-8120-W21>>
,IB-8120-W21E1,iNovo IB-8120-W21E1 <<HW_REV: 1.0; VENDOR: iNovo Broadband; BOOTR: 2.3.0; SW_REV: 139.4410mp1.3921132mp1.899.004404.004; MODEL: IB-8120-W21E1>>
,,
Jiuzhou,BCM93383WRG,Jiuzhou  reference design <<HW_REV: V1.0; VENDOR: Jiuzhou; BOOTR: 2.4.0; SW_REV: V3.0.7; MODEL: BCM93383WRG>>
,,
Kaonmedia,CG2001-AN22A,"""Kaonmedia cablemodem reference design <<HW_REV: V0.6; VENDOR: Kaonmedia; BOOTR: 2.4.0mp1; SW_REV: 1.2.1; MODEL: CG2001-AN22A>"""
,CG2001-UDBNA,Kaonmedia cablemodem reference design <<HW_REV: v1.0; VENDOR: Kaonmedia; BOOTR: 2.4.0mp1; SW_REV: 3.0.8; MODEL: CG2001-UDBNA>>
,CG2001-UN2NA,Kaonmedia cablemodem reference design <<HW_REV: v1.0; VENDOR: Kaonmedia; BOOTR: 2.4.0mp1; SW_REV: 3.0.8; MODEL: CG2001-UN2NA>>
,,
"ARRIS Group, Inc.",SBG6580-2,"Retail: <<HW_REV: 3; VENDOR: ARRIS Group, Inc.; BOOTR: 2400; SW_REV: D30GW-SEAEAGLE-1.5.2.5-GA-00-NOSH; MODEL: SBG6580-2>>"
,,
Motorola Corporation,SBG901,<<HW_REV: 1; VENDOR: Motorola Corporation; BOOTR: 2.2.0; SW_REV: SBG901-2.10.1.1-GA-00-581-NOSH; MODEL: SBG901>>
,SBG941,<<HW_REV: 1; VENDOR: Motorola Corporation; BOOTR: 2.2.0; SW_REV: SBG941-2.11.0.0-GA-07-624-NOSH; MODEL: SBG941>>
,SVG1202,<<HW_REV: 1; VENDOR: Motorola Corporation; BOOTR: 2.3.1; SW_REV: SVG1202-2.1.0.0-GA-14-LTSH; MODEL: SVG1202>>
,,
mplus,CBC383Z,CBC383Z <<HW_REV: 1.0; VENDOR: mplus; BOOTR: 2.4.0mp1; SW_REV: CBC383Z_mplus_MDr026; MODEL: CBC383Z>>
,,
NET&SYS,MNG2120J,NET&SYS DOCSIS 2.0 Cable Modem <<HW_REV: 4.10; VENDOR: NET&SYS; BOOTR: 2.1.6d; SW_REV: 5.76.1006c; MODEL: MNG2120J>>
,MNG6300,Netwave Docsis 3.0 Cable Modem MNG6300 <<HW_REV: 2.0; VENDOR: Net&Sys; BOOTR: 2.4.0alpha14; SW_REV: 5.83.6305jrc2; MODEL: MNG6300>>
,,
NETGEAR,C3000-100NAS,NETGEAR Wireless Cable Gateway <<HW_REV: C278T00-01; VENDOR: NETGEAR; BOOTR: 2.4.0alpha18; SW_REV: V1.01.11F01; MODEL: C3000-100NAS>>
,CGD24G-100NAS,Netgear Wireless Cable Modem Gateway <<HW_REV: V1.0; VENDOR: Netgear; BOOTR: 2.1.7k; SW_REV: V4.4.8R073-RG; MODEL: CGD24G-100NAS>>
,CGD24G-1CHNAS,Netgear Wireless Cable Modem Gateway <<HW_REV: V1.0; VENDOR: Netgear; BOOTR: 2.1.7l; SW_REV: V4.4.6R04.1-RG; MODEL: CGD24G-1CHNAS>>
,,
"NETWAVE Networks, Inc.",MNG6200,"MNG6200 <<HW_REV: 1.01; VENDOR: NETWAVE Networks, Inc.; BOOTR: 2.4.0alpha14; SW_REV: C4835805jrc12FU121413.cpr; MODEL: MNG6200>>"
,,
S-A WebSTAR,DPC2100,S-A WebSTAR DPC2100 Series DOCSIS Cable Modem Ethernet+USB <<HW_REV: 2.1; VENDOR: S-A; BOOTR: 2.1.6d; SW_REV: v2.0.2r1256-060303; MODEL: DPC2100R2>>
,,
Skyworth,CM5100,Skyworth DOCSIS 3.0 Cable Modem <<HW_REV: V2.1; VENDOR: Skyworth; BOOTR: 2.4.0mp1; SW_REV: V1.1.0; MODEL: CM5100>
